Calories
Protein
Carbohydrates
Total Fat
Monounsaturated fat
Polyunsaturated fat
Saturated fat
Trans Fat
Cholesterol
Added Sugar
Sodium
Fibre
Vitamin A
Folate
Vitamin C
Vitamin D
Vitamin E
Calcium
Iron
Potassium
Overweight
Obesity I
Obesity II
Pre-Diabetes
Diabetes
Pre-Hypertension
Hypertension
Coronary Heart Disease
Cardiovascular Disease
Bread
Cereal
Rice
Pasta
Noodles
Grain
Wholemeal
Wholegrain
Biscuits
Vegetables
Legumes
Fruit
Milk
Yoghurt
Cheese
Meat
Beef
Lamb
Pork
Chicken
Turkey
Fish
Eggs
Nuts
Seeds
Legumes
Tofu
